agency	caseyear	caseseqnr	casedocseq	docdate	sender	recipient	docdesc
Husbanken	2012	13646	15	2014-02-19	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling
Husbanken	2014	8988	1	2014-03-21	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om lån til studentboliger
Husbanken	2013	10586	9	2014-03-31	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - Låneavtale
Fylkesmannen i Oslo og Akershus	2014	662	42	2014-03-31	Studentsamskipnaden i Oslo og Akershus	Fylkesmannen i Oslo og Akershus	Rapportering tilskudd - SIO Helse
Arbeidstilsynet	2013	40168	5	2014-05-12	Studentsamskipnaden i Oslo og Akershus	Arbeidstilsynet	Innsendte opplysninger
Husbanken	2013	10586	10	2014-05-12	Studentsamskipnaden i Oslo og Akershus	Husbanken	Pantedokument - panteattest
Kunnskapsdepartementet	2013	5547	2	2014-05-14	Studentsamskipnaden i Oslo og Akershus		Ny kostnadsramme og omdisponering av tilskudd Fortettingsprosjektet Sogn Studentby Søknad
Kunnskapsdepartementet	2014	2907	1	2014-05-23	Studentsamskipnaden i Oslo og Akershus		PL Foreningslederkonferansen 2014 251014 Invitasjon til kunnskapsministeren om å holde åpningsinnlegg
Kunnskapsdepartementet	2014	2110	13	2014-05-27	Studentsamskipnaden i Oslo og Akershus		SIO Årsrapportering 2013
Husbanken	2014	8988	3	2014-05-28	Studentsamskipnaden i Oslo og Akershus	Husbanken	Bekreftet utskrift fra grunnboken
Kunnskapsdepartementet	2009	451	12	2014-06-10	Studentsamskipnaden i Oslo og AkershusStudentsamskipnaden i BergenStudentsamskipnaden i Trondheim		PL Strukturendringer i samskipnadssektoren og studentdemokratienes rolle
Husbanken	2013	14067	8	2014-06-27	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - Legitimasjonskontroll
Husbanken	2011	14247	29	2014-06-27	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling
Kunnskapsdepartementet	2014	222	3	2014-08-19	Studentsamskipnaden i Oslo og Akershus		SIO Godkjenning av prosjekt trinn 3 og Utbelaling Sogn 2012
Kunnskapsdepartementet	2014	3806	2	2014-08-20	Studentsamskipnaden i Oslo og Akershus		SIO Uttalelse vedr søknad fra Lovisenberg diakonale høgskole om fritak fra tilslutning til samskipnadsordningen
Arbeidstilsynet	2013	40168	7	2014-08-29	Studentsamskipnaden i Oslo og Akershus	Arbeidstilsynet	Etterlyser tilbakemelding
Husbanken	2011	13186	7	2014-09-15	Studentsamskipnaden i Oslo	Husbanken	Søknad om utbetaling - Oslo - gnr 208 bnr 539 - Studentsamskipnaden i Oslo
Husbanken	2012	12644	6	2014-09-15	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - Oslo - gnr 42 bnr 172 - Studentsakipnaden i Oslo og Akershus
Husbanken	2012	13680	6	2014-09-15	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - Oslo - gnr 50 bnr 1 - Studentsamskipnaden i Oslo og Akershus
Husbanken	2014	19251	1	2014-09-15	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om tilskudd til studentboliger - gnr 231 bnr 213 - Studentsamskipnaden i Oslo og Akershus
Kunnskapsdepartementet	2014	3897	16	2014-09-24	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar Endring i lov om studentsamskipnader
Husbanken	2011	13186	10	2014-09-25	Studentsamskipnaden i Oslo og Akershus	Husbanken	Vedlegg til Grunnlån utbedring - Tilskudd studentboliger - Oslo - Gnr 208 bnr 539 - Studentsamskipnaden i Oslo og Akershus
Husbanken	2012	12644	9	2014-09-25	Studentsamskipnaden i Oslo og Akershus	Husbanken	Vedlegg Tilskudd til studentboliger - Oslo - gnr 42 bnr 172 - Studentsamskipnaden i Oslo og Akershus
Husbanken	2012	13680	9	2014-09-25	Studentsamskipnaden i Oslo og Akershus	Husbanken	Vedlegg til Tilskudd til sudentboliger - Fortetting Sogn etappe II - Oslo - Studentsamskipnaden i Oslo - Gnr 0301 Bnr 1
