Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
43702	04.01.2016	Parkeringsrabatt hos SiO brev fraKunnskapsdepartementet av 17.12.15 m/vedlegg	Torgunn Kveberg	MS OUTLOOK	
43704	04.01.2016	Vedrørende omdisponering av tilsagn om tilskudd, Kunnskapsdepartementet 18.1215	Torgunn Kveberg	MS OUTLOOK	
43706	04.01.2016	Statsbudsjettet 2016 kap. 260 Tildelingsbrev for Høgskolen i Oslo ogAkershus, Kunnskapsdeparementet18.12.15	Torgunn Kveberg	MS OUTLOOK	
43707	04.01.2016	Statsbudsjettet 2016 kap. 260 post 70 Tilskudd til private høyskolerm/vedkegg, Kunnskapsdepartenebtet 23.12.15	Torgunn Kveberg	MS OUTLOOK	
43756	07.01.2016	Innsynshenvendelse etter Offentlighetslova Regnskap over bruken avsemesteravgiften de siste 5 årene	Nina Langeland	MS OUTLOOK	
43824	12.01.2016	Referat fra møte om barnehage i Blindernveien 6	Trond Bakke	ACROBAT	
43830	12.01.2016	Leieretter i SiO, brev til Kvæfjord kommune av 12.1.16	Torgunn Kveberg	ACROBAT	
43834	12.01.2016	Henvendelse fra Kvæfjord kommune om leieretter i SiO, e post av 12.1.16	Torgunn Kveberg	MS OUTLOOK	
43837	12.01.2016	Blindernveien 6, Blindern Referat fra møte om barnehage, brev fra PBE av 11.1.16	Torgunn Kveberg	MS OUTLOOK	
43852	13.01.2016	Høring Rapport Kunnskapssektoren sett utenfra, Kunnskapsdepartementet 11.01.16	Torgunn Kveberg	MS OUTLOOK	
43882	15.01.2016	Høring Rapport Kunnskapssektoren sett utenfra, Kunnskapsdepartementet 11.1.16	Torgunn Kveberg	MS OUTLOOK	
43912	19.01.2016	Underretning om planforslag (Gjerdrumsvei) oversendt til politisk behandling.pdf	Trond Bakke	ACROBAT	
