,SiOs postliste 19.04 - 23.04.2010,,,
Doc # Document Name,Virksomhet,Retning,Created,Dok. dato
"5527 Rapporter KTI- og profilundersøkelse, fra TNS Gallup",KS,INN,19.04.2010,
"5529 Rapport Akademika, fra TNS Gallup",KS,INN,19.04.2010,
"5558 Studentboligene KTI, rapport fra TNS Gallup",SB,INN,19.04.2010,
5585 Høringsuttalelse til BDO rapporten fra S/Ås,KS,INN,21.04.2010,16.04.2010
"5586 Årsberetning for SiO Forretning AS 2009, generalforsamling Si",FAS,INN,21.04.2010,
"O Forretning AS 28.4.10,",,,,
5592 Høringssvar fra Samskipnadsrådet om BDO rapport,KS,INN,21.04.2010,20.04.2010
5630 Korreksjonsforslag Congregatio,SL,INN,23.04.2010,
5593 Leasingsavtale Atea CPU utstyr i JPE4-14,SB,INN,21.04.2010,21.04.2010
5594 Avklaringer forsikringsvilkår med ATEA Finance,SB,INN,21.04.2010,21.04.2010
5595 Avtale med SNAP-TV JPE 4-14,SB,INN,21.04.2010,21.04.2010
5611 Høring av nytt finansieringssystem for ikke-kommunale barneh,KS,INN,22.04.2010,19.04.2010
"ager, brev fra Kunnskapsdepartementet av 19.4.10",,,,
"5613 Sak 33/10 Student- og profilundersøkelse 2010, hovedstyremø",KS,INN,22.04.2010,
tet 28.4.10,,,,
5614 Installasjonsveiledning IPTV,SB,INN,22.04.2010,22.04.2010
"5542 5511, klagesak 2010026954",SB,UT,19.04.2010,19.04.2010
5583 Informasjon LENEL OMT 8-10,SB,UT,21.04.2010,21.04.2010
5588 401 Installasjon av LENEL Adganskontroll,FELLES SB-S,UT,21.04.2010,21.04.2010
,E,,,
5591 401 Installasjon av LENEL adgangskontroll Referat fra oppstart,FELLES SB-S,UT,21.04.2010,21.04.2010
smøte utbygging av LENEL i OMT 8-10 og OMT 18,E,,,
5596 Høringsbrev offentlige anskaffelser FAD,KS,UT,21.04.2010,
"5626 Fristasjonssøknad 2011, brev fra SiO til UiO av 21.4.10",KS,UT,23.04.2010,21.04.2010
"SB: Studentboligene, KS: Konsernstab, SE: SiO Eiendom, Felles",,,,
