SiOs postliste 14.06 - 18.06.2010,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
"7299 Apalveien 60, lånesøknad",KS,UT,14.06.2010,
7301 Kjøp av aksjene i Apalveien 60 AS - Ræder advokatfirma,KS,INN,14.06.2010,08.06.2010
7311 Referat fra møtet om studentboligbygging i Kunnskapsdepartementet 2,KS,INN,14.06.2010,11.06.2010
0.5.10,,,,
7312 Søknad spillemidler 2010 - spillemidler kunstgressbane - Oslo kommun,SI,INN,14.06.2010,
e idrettsetaten,,,,
7314 Foreløpig svar på søknad om spillemidler 2010 til Domus Athletica spill,SI,INN,14.06.2010,
emidler kunstgressbane undervarme - Oslo kommune idrettsetaten,,,,
7315 Spillemidler kunstgressbane Domus Athletica - oversendelse sluttregns,SI,UT,14.06.2010,
kap,,,,
7316 Svar søknad spillemidler kunstgressbane - undervarme,SI,INN,14.06.2010,
7317 Tilsagn spillemidler kunstgressbane - spillemidler kunstgressbane - Osl,SI,INN,14.06.2010,
o kommune idrettsetaten,,,,
7318 Svar søknader om spillemidler - spillemidler kunstgressbane - Oslo kom,SI,INN,14.06.2010,
mune Idrettsetaten,,,,
7319 Søknad om spillemidler - spillemidler kunstgressbane anleggsnr 03010,SI,UT,14.06.2010,
89707 - Oslo Kommune idrettetaten,,,,
"7320 Søknad om spillemidler kunstgressbane - undervarme Domus Athletica,",SI,UT,14.06.2010,
Oslo kommune Idrettsetaten,,,,
7333 SV: Miljøforum for Gaustadbekkdalen og Gaustadjordet,FELLES SB-SE,INN,15.06.2010,04.06.2010
7339 Endringsledelse - foredrag,KS,INN,15.06.2010,14.06.2010
7342 289 Referat forhåndsbefaring OMT 8,SE,INN,15.06.2010,
7360 E1059 Notat/kostnadsoverslag Rambøll,SE,INN,16.06.2010,
7364 E1059 Notat kostnadsestimat Rambøll,SE,INN,16.06.2010,
7365 E1059 Prinsippskisse etterisolering Rambøll,SE,INN,16.06.2010,
7366 E1059 Prinsippskisse kuldebroer gavl Rambøll,SE,INN,16.06.2010,
SiOs postliste 14.06 - 18.06.2010,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
7370 E1081 Garasjeanlegg Vestgrensa Referat PM03,SE,INN,16.06.2010,
7404 E1081 Vestgrensa P-hus Framdriftsplan,SE,INN,16.06.2010,
7406 E1081 vestgrensa P-hus PM01,SE,INN,16.06.2010,
7407 E1081 Forslag rigg adkomst,SE,INN,16.06.2010,
7408 E1081 Bilde forslag adkomst,SE,INN,16.06.2010,
7424 Søknad utbetaling tilskudd Fagerborg 2010,SE,UT,17.06.2010,
7425 Søknad utbetaling tilskudd Schultzgt 2010,SE,UT,17.06.2010,
7426 Søknad til HB om utbetaling tilskudd Schultzgt 7 2010,SE,UT,17.06.2010,
7429 Søknad til HB om utbetaling av tilskudd Fagerborg 2010,SE,UT,17.06.2010,
7430 Studentkafeene - leverandøravtale,KS,INN,17.06.2010,15.06.2010
7433 Reservasjon tariffavtale SiB NTL,KS,UT,17.06.2010,
7435 Reservasjon tariffavtale SiB Parat,KS,UT,17.06.2010,
7436 Reservasjon tariffavtale SiB Utdanningsforb,KS,UT,17.06.2010,
7451 Anbudsforespørsel til Accenture om nettfunksjonalitet for Studentliv,SL,INN,18.06.2010,
7452 Anbudsforespørsel på utvikling av ny nettfunksjonalitet for Studentliv,SL,UT,18.06.2010,
