,SiOs postliste 21.06 - 25.06.2010,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato,Ansvarlig
7498 Avslag fra Accenture på anbudsforespørsel nettfunksjonalitet til S,SL,INN,22.06.2010,,Mike Fürstenberg
tudentliv,,,,,
7500 Svar fra Workplace på anbud på utvikling av nettfunksjonalitet,SL,INN,22.06.2010,,Mike Fürstenberg
7506 Prosesskrift til Borgarting lagmannsrett,KS,INN,22.06.2010,21.06.2010,Mette Kjærnli
7515 Signert fristasjonsavtale mellom NVH Norges veterinærhøgskolen,KS,INN,22.06.2010,08.12.2009,Inger Hegstad Kruger
og SiO (avtale om fristasjon),,,,,
7526 E1140 Pilestredet 36 - Generaloppussing - Plan 1 et. 23062010,SE,INN,23.06.2010,,Tom Tørnquist
7527 E1140 Pilestredet 36 - Generaloppussing - Plan 2-6 et. 23062010,SE,INN,23.06.2010,,Tom Tørnquist
7528 E1140 Pilestredet 36 - Generaloppussing - Plan 7 et. 23062010,SE,INN,23.06.2010,,Tom Tørnquist
7611 Avtale Auto-Boks-Service A/S,SI,INN,25.06.2010,,Inge Solberg
7612 Auto-Boks-Service,SI,INN,25.06.2010,,Inge Solberg
7619 Avtale Gramo offentlig fremføring av innspilt musikk DA,SI,INN,25.06.2010,,Kristina Sætran
7620 Avtale Gramo offentlig fremføring av innspilt musikk BA,SI,INN,25.06.2010,,Kristina Sætran
7621 Avtale Gramo fremføring av innspilt musikk CA,SI,INN,25.06.2010,,Inge Solberg
7470 [hjelp.uio.no #595478] Oppheng av banner på UV-fak i forbindels,KAR,UT,21.06.2010,,Åse Elise Mejdell
e med Arbeidslivsdagen,,,,,
7471 Re: [teknisk-ostre] [Fwd: [teknisk-vestre] Søknad om oppheng av,KAR,UT,21.06.2010,,Åse Elise Mejdell
banner],,,,,
7472 Re: [teknisk-ostre] Søknad om oppheng av banner,KAR,UT,21.06.2010,,Åse Elise Mejdell
"7477 Prosjekt 244-Schultz gt.7, Generalentreprise",SE,UT,21.06.2010,,Ole Morten Bjørkerot
7481 Møtereferat Oslo kommune - Gang- og turvei Vestgrensa,FELLES SB-SE,UT,21.06.2010,22.06.2010,Espen Schram
7489 Konfigurasjonsoversikt JPE 4-16,SB,UT,21.06.2010,21.06.2010,Jonn Eggerud
7551 Anbud på utvikling av nettfunksjonalitet Workplace,SL,UT,23.06.2010,,Mike Fürstenberg
"7557 Bestilling, Brynklima, kjølemaskin - Kringsjå, André",SB,UT,23.06.2010,23.06.2010,Andre Lindø
"SB: Studentboligene, KS: Konsernstab, KAR: Karrieresenteret, SE: SiO Eiendom, Felles SE-SB, SI: Studentidretten",,,,,
