SiOs postlisten 13.09. - 17.09.2010,,,,
Dok # Dokumentnavn,Dok. dato,Virksomhet,Retning,Opprettet dato
"9438 294 PIL 36 Generaloppussing, Avtale ARK",,SE,INN,13.09.2010
"9439 294 PIL 36 Generaloppussing, Avtale RIE",,SE,INN,13.09.2010
"9440 294 PIL 36 Generaloppussing, Avtale RIV",,SE,INN,13.09.2010
"9441 294 PIL 36 Generaloppussing, Avtale PA",,SE,INN,13.09.2010
"9444 294 PIL 36 Generaloppussing, Avtale RIB",,SE,INN,13.09.2010
"9462 Tyveriskade fra kontor DA, 16. august 2010 - mottatt melding om skade, IF",,KS,INN,13.09.2010
"9538 294 PIL 36, Generaloppussing, Lyddokument",,SE,INN,15.09.2010
9540 Tilbud på ny nettfunksjonalitet fra Workplace til Studentliv,,SL,INN,15.09.2010
"9469 Fakturanr. 17302, Haga & Berg",,SE,INN,14.09.2010
"9476 FW: Vernerunder Schultzgate 7, Haga & Berg",,SE,INN,14.09.2010
9477 Presentasjon foiler Kurs i sosiale medier effektiv bruk,,KAR,INN,14.09.2010
9478 Presentasjon foiler kurs i Facebook annonsering,,KAR,INN,14.09.2010
9480 utdrag presentasjon foiler kurs i facebook annonsering brukerrettighet Espen Grimmert,,KAR,INN,14.09.2010
9497 Klage: Ref. 2010053972,,SB,INN,14.09.2010
9466 Lånekontoer til UiO-nettverket for bruk på bedriftspresentasjoner opprettet,,KAR,UT,13.09.2010
9486 Rapport til AKAN for støtte til pubtilpub arrangement,,SL,UT,14.09.2010
www.sio.no,,,,
