SiOs postlisten 18. - 22.10.2010,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
"10262 Prosjekt 294 PIL 36, Generaloppussing - Referat PM09",SE,INN,19.10.2010,
10272 Klage 2010054308,SB,INN,19.10.2010,
10273 Klage 2010054257,SB,INN,19.10.2010,
10277 Presentasjon Aserbajdsjan,KS,INN,19.10.2010,
10290 2010029363 - brev om saken fra klagers advokat,SB,INN,20.10.2010,20.09.2010
10299 2010056993 - klage boforhold,SB,INN,20.10.2010,
10210 239 Vestgrensa 2 Avtale FRI SiO opparbeidelse av Gang-/sykkelvei,SE,UT,18.10.2010,18.10.2010
10226 2010052005 - Utfordringer rehabilitering Schultzgate 7,SB,UT,18.10.2010,
10228 2010053937 - Knuste ruter,SB,UT,18.10.2010,
10229 2010053886 - Utfordringer rehabilitering Schultzgate 7 - Boforhold,SB,UT,18.10.2010,
10230 2010054005 - Manglende renhold forrige beboere,SB,UT,18.10.2010,
10232 2010054018 - Klage ved flytting,SB,UT,18.10.2010,
10316 SV: Karrieredag ved PSI psykologisk institutt,KAR,UT,20.10.2010,
10317 SV: SV: Karrieredag ved PSI psykologi,KAR,UT,20.10.2010,
10356 239 VGII - Gang- og sykkelvei - referat fra befaring,SE,UT,22.10.2010,22.10.2010
10266 Kjelleravtale Del A Fellestekst 2009 signert,SL,UT,19.10.2010,
10271 Henvendelse til Traugots kjeller om vedlegg til kjelleravtalen,SL,UT,19.10.2010,
"10283 Bydels overlege, Amatøren, klage på støy, André",SB,UT,20.10.2010,20.10.2010
10295 Kjelleravtale Del C Vedlegg MN-fakultetet RF-kjellern,SL,UT,20.10.2010,
10298 Henvedelse til SVFF om vedlegg til kjelleravtalen,SL,UT,20.10.2010,
10301 Kjelleravtale Del C Vedlegg SV-fakultetet U1,SL,UT,20.10.2010,
10244 Vedtatte uttalelser samskipnadsmøtet 2010,KS,UT,19.10.2010,
10245 Høringssvar bokavtalen samskipnadsmøtet samskipnadsrådet,KS,UT,19.10.2010,
10248 2010052018 - Klage brannalarm,SB,UT,19.10.2010,
10250 Program besøk Aserbajdsjan,KS,UT,19.10.2010,
10251 Henvendelse til Filologisk Forening om vedlegg til kjelleravtalene,SL,UT,19.10.2010,
10265 Varsel 2 pga høy musikk Tullinløkka,SB,UT,19.10.2010,
,www.sio.no,,,
