Doc # Document Name,Virksomhet,Dok. dato,Created,Retning
3993 Avtale Culinor - SIN 2010 - 2011,KS,08.02.2010,11.02.2010,INN
3995 Samarbeidsavtale Haugen-Gruppen AS - Innkjøpssamarbeid for Studentka,KS,,11.02.2010,INN
feene i Norge SIN (gyldig 01.01.10 - 31.12.10),,,,
3996 Oversendelse av brev fra KRD - Rekkefølgebestemmelser og krav ifm utby,KS,05.02.2010,11.02.2010,INN
"ggingsavtaler, Kunnskapsdepartementet",,,,
3682 Styret for Organisasjonen Amatøren våren 2010,SB,,08.02.2010,INN
3992 Avregning juridisk bistand per 31.12.2009,KS,,11.02.2010,INN
"3901 Sweco - Prosjekteringshåndbok, tillegg Materialvalg",SB,08.02.2010,08.02.2010,INN
"3987 244 Schultzgate 7 - Referat 06, Tilbudsbefaring",SE,,11.02.2010,INN
4065 Epost forespørsel Alkoholfrie studentgrupper og -arrangementer,SL,,12.02.2010,UT
4000 292 Sogn 2012 - referat tilbydere rådgivere 110210,SE,,12.02.2010,UT
4005 292 Sogn 2012- Presentasjon infomøte rådgivere 110210,SE,11.02.2010,12.02.2010,UT
"4244 292 Sogn 2012 - Referat Info til tilbydere, Rådgivere 110210",SE,11.02.2010,12.02.2010,UT
"3961 Domus Athletica, Bestilling Multiconsult hulltakning 4. et",SE,,10.02.2010,UT
"3801 Vedlikeholdsstøtte, vår 2010",SL,,08.02.2010,UT
"4019 JPE 4-14, Bjerke ventilasjon, Serviceavtale, André",SB,,12.02.2010,UT
