Doc # Document Name,Virksomh,Created,Dok. dato,Retning
,et,,,
4246 289 Fortetting Sogn ombygging referat byggemøte 02,SE,15.02.2010,,INN
"4248 Brev fra Kunnskapsdepartementet av 10.2.10 vedr statsbudsjettet for 2010, tilsagn o",KS,15.02.2010,12.02.2010,INN
m tilskudd,,,,
4249 Brev fra Kunnskapsdepartementet av 10.2.10 vedr tilsagn om tilskudd til studentbolig,KS,15.02.2010,10.02.2010,INN
bygging for 2010,,,,
"4253 Redegjørelse i forbindelse med klage, Likestillings- og diskrimineringsombudet",SB,15.02.2010,,UT
"4254 Mal, avtale om service og vedlikehold, Jonn",SB,15.02.2010,15.02.2010,UT
4263 Rammeavtale for service og vedlikehold v 1.0 1.12.2005,SB,15.02.2010,,UT
4264 Avtale om service og vedlikehold v 1.0 1.12.2005,SB,15.02.2010,,UT
4275 Innkalling til Generalforsamling for SPF - 15/2-2010,SL,15.02.2010,01.02.2010,INN
4278 Prosjekteringsmøte nr. 5,SE,16.02.2010,,INN
4279 Prosjekteringsmøte nr. 6,SE,16.02.2010,,INN
4280 Tilbudsdokumenter Fortetning Kringsjå,SE,16.02.2010,,INN
"4281 Godkjenning trinn 1, Husbanken",SE,16.02.2010,,INN
"4282 Tisagn om tilskudd Kringsjå, Kunnskapsdepartementet",SE,16.02.2010,10.02.2010,INN
"4283 Tilsagn om tilskudd Schultz gt.7, Kunnskapsdepartementet",SE,16.02.2010,10.02.2010,INN
4288 Rammetillatelse OMT 8-10,SE,16.02.2010,,INN
4296 Rammetillatelse OMT 66,SE,16.02.2010,,INN
4297 Rammetillatelse OMT 64,SE,16.02.2010,,INN
4298 Rammetillatelse OMT 60,SE,16.02.2010,,INN
4299 Rammetillatelse OMT 58,SE,16.02.2010,,INN
4300 Rammetillatelse OMT 56,SE,16.02.2010,,INN
4301 Rammetillatelse OMT 54,SE,16.02.2010,,INN
4302 Rammetillatelse OMT 52,SE,16.02.2010,,INN
"4314 Søknad om godkjenning av tilskudd, Husbanken",SE,17.02.2010,,UT
4327 292 Sogn_2012_kart_VA_190110,SE,17.02.2010,,INN
"4337 Avregning juridisk bistand per 31.12.2009, Bahr",KS,17.02.2010,12.02.2010,INN
"4338 Juridisk erklæring SiO med datterselskap, Simonsen",KS,17.02.2010,15.02.2010,INN
"KS Konsernstab, SL Studentliv, SE Eiendom, SB Studentboligene",,,,
SiOs postliste 15.februar - 19. februar 2010,,,,
Doc # Document Name,Virksomh,Created,Dok. dato,Retning
,et,,,
"4339 Høring - rapport fra utvlag for utredning av samarbeid, arbeidsdeling og konsentrasjo",KS,17.02.2010,16.02.2010,INN
"n i høyskolesektoren i Nordland, Kunnskapsdepartementet",,,,
"4340 Høring - Forslag om utvidet MVA på kultur- og idrettsområdet, Finansdepartementet",KS,17.02.2010,16.02.2010,INN
"4341 Klage på registrering av opplysninger på studentkort SiO, Datatilsynet",KS,17.02.2010,12.02.2010,INN
"4344 Bedriftsundersøkelse 2010, NAV",KS,17.02.2010,10.02.2010,UT
4380 Studenthovedstaden budsjettforslag,KS,18.02.2010,26.11.2009,INN
"4383 Kringsjå fyrhus serviceavtale, André",SB,18.02.2010,18.02.2010,UT
"4385 Videreføring butikkdata - 6 Silent touch kasser og CS Backoffice server, VISMA",KS,18.02.2010,12.02.2010,INN
4392 Flytting av mottak for farlig avfall - Renovasjonsetaten,FELLES,18.02.2010,11.02.2010,INN
,SB-SE,,,
4393 Møtereferat 20.1.10 Nedre Foss - Friluftsetaten,FELLES,18.02.2010,25.02.2010,INN
,SB-SE,,,
"4395 Referat fra møte, Nedre Foss - epost",FELLES,18.02.2010,29.01.2010,INN
,SB-SE,,,
4396 Skisse_Alt turvei nord_med kartgrunnlag.pdf - Nedre Foss,FELLES,18.02.2010,18.02.2010,INN
,SB-SE,,,
"4398 Oppfølging av referat fra møte, Nedre Foss - e-post 18.2",FELLES,18.02.2010,18.02.2010,INN
,SB-SE,,,
4409 Møtereferat fra SD anlegg i SB,SB,19.02.2010,19.02.2010,INN
4411 Kontrakt mellom SNAP-TV og SB versjon 1,SB,19.02.2010,19.02.2010,INN
"4413 Forbrukstall OMT 2-4, 20_223 og 50 fra 1/1-31/12 2009",SB,19.02.2010,19.02.2010,INN
4414 Framdriftsplan LENEL Fagerborg Studenthus,SB,19.02.2010,19.02.2010,INN
4415 Fremdriftsplan for Fagerborg studenby.xls,SB,19.02.2010,19.02.2010,INN
"KS Konsernstab, SL Studentliv, SE Eiendom, SB Studentboligene",,,,
