SiOs postlisten 11 - 22.04.2011,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
13971 294 Betalingsplan totalentreprise Georg Andresen & sønner,SE,INN,11.04.2011,
13975 Brukerstedsavtale SiO Senter Bjerregårdsgt,KS,INN,11.04.2011,
13990 Studentsamskipnaden i Oslo kvalitets- og avviksystem abonnementsavt,KS,INN,11.04.2011,
"ale, Compendia",,,,
"13991 Studentsamskipnaden i Oslo kvalitets- og avviksystem, Compendia",KS,INN,11.04.2011,
13992 VS: Kontrakter fra Compendia,KS,INN,11.04.2011,
13994 Tilbud på nye lisenser og E-mail filing for SIO.- Contesto,KS,INN,11.04.2011,
14120 Klage 2011064902,SB,INN,18.04.2011,
14124 Idrettsfunksjonell forhåndsgodkjenning for rehab. 2 tennisbaner,SI,INN,18.04.2011,28.03.2011
14144 Klage 2011065001,SB,INN,20.04.2011,
14051 Klage 2011059010,SB,INN,13.04.2011,
"14061 268 Fortetting Bjerke, Rammetillatelse",SE,INN,14.04.2011,
14069 Klage 2011064830,SB,INN,14.04.2011,
14097 Etikett cateringembalasje,SKA,INN,15.04.2011,
14098 Tilbud Etiketter,SKA,INN,15.04.2011,
14119 Leiegaranti - NorwegianBroker,SE,INN,18.04.2011,
13995 Tilbud på nye eDOCS DMlisenser og moduler for budsjett 2011 .,KS,INN,11.04.2011,
14000 Klage 2011064721,SB,INN,12.04.2011,
14002 294 PIL 36 Generaloppussing - PA-bok,SE,INN,12.04.2011,
"14005 Vedrørende søknad endring av semesteravgiften 11.4.11, Det Kongelig",KS,INN,12.04.2011,
e Kunnskapsdepartement,,,,
14031 Kjelleravtale RF-kjellern Realistforeningen MN-fakultetet komplett og si,SL,INN,13.04.2011,
gnert 2011-2014,,,,
14049 Klage 2011064800,SB,INN,13.04.2011,
13993 Live-demo kvalitetshåndboksløsning - Compendia,KS,UT,11.04.2011,
14007 Forsinket ny tildeling,SB,UT,12.04.2011,
,www.sio.no,,,
SiOs postlisten 11 - 22.04.2011,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
14047 Driftsavtale Hafjell Vaktmesterkompani AS,SE,UT,13.04.2011,
14072 Fellesdager Musikkhøgskolen 26-27. april 2011,SKA,UT,14.04.2011,
14115 Informasjon om semesteravgift høsten 2011 til SiOs medlemsinstitusjon,KS,UT,15.04.2011,
er,,,,
14135 Ventilasjon - kontrollmåling Trimveien 6,SB,UT,19.04.2011,19.04.2011
14138 Høringssvar vedrørende endringer i studentsamskipnadslov,KS,UT,19.04.2011,
14147 Ny tildeling av leiekontrakt våren 2011,SB,UT,20.04.2011,
,www.sio.no,,,
