SiOs postlisten 23.- 27.05.2011,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
14864 SV: Oppdatering frå Norges Dansehøyskole og studentforeininga Frapp,SL,INN,27.05.2011,
é,,,,
14856 Høringssvar - planarbeid Kjeller nord,SE,UT,27.05.2011,27.05.2011
"14814 Referat fra arbeidsmøte om studentboligbygging 10. mai 2011, Kunnsk",KS,INN,25.05.2011,
apsdepartementet,,,,
14813 Avtale om treningtilbud mellom Høyskolen i Oslo og Akershus og Stude,KS,INN,25.05.2011,
"nsamskipnaden i Oslo og Akershus, 16.05 2011",,,,
14812 Medlemsskap i SIO,KS,UT,25.05.2011,
14795 Akademika Rating,KS,INN,25.05.2011,
14794 Høring - Endringsforskrift til forskrift om tildeling av utdanningsstøtte for,KS,INN,25.05.2011,
undervisningsåret 2011-2012 og forskrift om forretning og tilbakemeldin,,,,
"g av utdanningslån og tap av rettigheter 2011, Kunnskapsdepartemente",,,,
t,,,,
14756 Klage 2011067815,SB,INN,23.05.2011,
14745 Departementets tilsyn med virksomheten til studentsamskipnadene i re,KS,INN,23.05.2011,
gnskapsåret 2010. Kunnskapsdepartementet 20.5.11,,,,
14736 Ny funksjonalitet i Studentliv og UiO.no,SL,UT,23.05.2011,
14730 Referat fra SG møte - Hafslundsaken - 19.5.2011,SB,UT,23.05.2011,
,www.sio.no,,,
