SiOs postlisten 11.07 - 03.08.2011,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
15813 Kontooverføring Bergland hyttepark,KS,INN,01.08.2011,
15720 Klagesak 2011069707,SB,INN,12.07.2011,
15721 Klage 2011069707,SB,INN,12.07.2011,
15748 Klage 2011069927,SB,INN,15.07.2011,
15749 Klage 2211069927,SB,INN,15.07.2011,
15759 Avtale med Diakonhjemmets høgskole,SI,INN,22.07.2011,
15769 Godkjent søknad lån av bukker fra Teknisk Vestre,KAR,INN,26.07.2011,
15771 Godkjent søknad om lån av A-bukker fra UB,KAR,INN,26.07.2011,
15827 Anbefaling om foreleser til Foreningsseminaret 2011 Morten Hegd,SL,INN,02.08.2011,
al organisasjonskultur,,,,
15828 Foredragsholder Jon Anders Lone kan ikke delta på Foreningsse,SL,INN,02.08.2011,
minar 2011 men stiller gjerne opp en annen gang,,,,
15815 Rengjøring i forbindelse med Arbeidslivsdagen ved UiO,KAR,INN,01.08.2011,
15802 Utkast tekst rekruttering ekstrahjelpere ALD2011,KAR,UT,28.07.2011,
15824 Forespørsel foreleser organisasjonskultur Foreningsseminaret 20,SL,UT,01.08.2011,
11 Jon Anders Lone,,,,
15826 Avtale fysioterpi CA og NA fra 1.8.2011,SI,UT,02.08.2011,
15817 Søknad Tilskudd 2011 Fagerborg,KS,UT,01.08.2011,
15819 Søknad tilskudd 2011 Stensberggata,KS,UT,01.08.2011,
15733 brev fristasjonsavtale 2012,KS,UT,14.07.2011,
,www.sio.no,,,
