Endret,Dok,Dokumentnavn,Applikasj,Forfatternavn
dato,#,,on,
20.03.2,5619,Forhåndskonferanse,MS OUTL,Torgunn Kveberg
020 14:,6,"- Blindernveien 10,",OOK,
57:49,,PBE 20.3.20,,
20.03.2,5619,Forskrift om gjennom,MS OUTL,Torgunn Kveberg
020 09:,3,føring av utdanninge,OOK,
06:59,,r regulert av rammep,,
,,lan mv i forbindelse,,
,,m edm utbruddet av,,
,,"Covid-19, Kunnskap",,
,,sdepartementet 19.3,,
,,.20,,
19.03.2,5617,Underretning om ved,ACROBA,Torgunn Kveberg
020 10:,6,tatt plan Stensbergg,T,
13:53,,"ata 11, PBE 19.3.20",,
18.03.2,5616,Olav M. Troviks vei 4,ACROBA,Torgunn Kveberg
020 10:,7,"2 - Ferdigattest, PBE",T,
06:53,,17.3.20,,
18.03.2,5616,Olav M. Troviks vei 3,ACROBA,Torgunn Kveberg
020 10:,6,"8 - Ferdigattest, PBE",T,
05:58,,17.3.20,,
18.03.2,5616,Olav M. Troviks vei 4,ACROBA,Torgunn Kveberg
020 10:,5,"2 - Endret tillatelse,",T,
04:19,,PBE 17.3.20,,
18.03.2,5616,Olav M. Troviks vei 3,ACROBA,Torgunn Kveberg
020 10:,4,"8 - Endret tillatelse,",T,
Endret,Dok,Dokumentnavn,Applikasj,Forfatternavn
dato,#,,on,
03:08,,PBE 17.3.20.,,
16.03.2,5613,Informasjon ifm. koro,MS OUTL,Torgunn Kveberg
020 09:,2,naviruset og Covid-1,OOK,
57:58,,"9, Kunnskapsdepart",,
,,ementet 13.3.20,,
