,SiOs postliste 6.4.2020-14.4.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
14.04.2020 10:00:,"56286 Gjerdrums vei 10 B - Igangsettingstillatelse nr 2,",ACROBAT,Torgunn Kveberg
23,PBE 6.4.20,,
14.04.2020 09:46:,56285 Informasjon i forbindelse med koronaviruset og C,MS OUTLOOK,Torgunn Kveberg
39,"ovid-19-pandemien, Kunnskapsdepartementet 8.",,
,4.20,,
14.04.2020 09:42:,56284 Delvis åpning av høyskoler og universiteter fra 27,MS OUTLOOK,Torgunn Kveberg
38,". april, Kunnskapsdepartementet 7.4.20",,
14.04.2020 09:40:,"56283 Blindernveien 10 - Revidert referat, PBE 6.4.20",MS OUTLOOK,Torgunn Kveberg
00,,,
14.04.2020 09:36:,56282 Utsett høyringsfrist - Grønne indikatorer for unive,MS OUTLOOK,Torgunn Kveberg
20,"rsitets- og høgskolesektoren, Diku - Direktoratet f",,
,or internasjonalisering og kvalitetsutvikling i høye,,
,"re utdanning, 3.4.20",,
14.04.2020,"56287 Gjerdrums vei 10 C - Igangsettingstillatelse nr 2,",ACROBAT,Torgunn Kveberg
,PBE 6.4.20,,
13.04.2020 11:45:,56281 Vedrørende boligreservasjonsavtale og koronasit,MS WORD,Nina Langeland
10,uasjonen,,
