,,SiOs postliste 15.2.-21.2.2021,
Edit Date,Doc # Document Name,Application,Author Name
17.02.2021 1,"57905 Olav M. Troviks vei 64, Igangsetting",ACROBAT,Torgunn Kveberg
1:19:35,"stillatelse - del 2, PBE 17.2.21",,
16.02.2021 1,"57885 Blindernveien 6 A-E, Endret tillatels",ACROBAT,Torgunn Kveberg
1:40:17,"e nr 5, PBE 15.2.21",,
16.02.2021 1,"57884 Blindernveien 6 A-E, Igangsettings",ACROBAT,Torgunn Kveberg
1:38:54,"tillatelse nr 4, PBE 16.2.21",,
16.02.2021 1,"57882 Blindernveien 6 A-E, Ukomplett end",ACROBAT,Torgunn Kveberg
1:36:42,"ringssøknad, PBE 15.2.21",,
16.02.2021 1,"57881 Kolstadgata, Gamle Oslo - Varsel o",ACROBAT,Torgunn Kveberg
1:35:18,"m utvidet planområde, PBE 12.2.21",,
