,,,,SiOs postliste 12.4.-18.4.2021
Edit Date,Doc #,Document Name,Application,Author Name
16.04.2021 10:02:,58208,"Blindernveien 6 A-E, Behov for innsendelse av pro",ACROBAT,Torgunn Kveberg
28,,"duktdokumentasjon for tilsyn, PBE 15.4.21",,
16.04.2021 09:59:,58207,"Blindernveien 6 A-E, Brukstillatelse, PBE 15.4.21",ACROBAT,Torgunn Kveberg
59,,,,
16.04.2021 09:54:,58206,Oversendelse av byggesak (RES 2-4) til Byantikva,ACROBAT,Torgunn Kveberg
17,,"ren for uttalelse, PBE 16.4.21",,
16.04.2021 09:52:,58205,Oversendelse av byggesak (RES 8-14) til Byantikv,ACROBAT,Torgunn Kveberg
06,,"aren for uttalelse, PBE 16.4.21",,
16.04.2021 09:47:,58204,Underretning om potensielt farlige forhold - Haslev,ACROBAT,Torgunn Kveberg
31,,"eien 9-13, PBE 15.4.21",,
16.04.2021 09:45:,58203,Bekymringsmelding vedrørende blokkerte rømning,ACROBAT,Torgunn Kveberg
08,,"sveier, Brann- og redningsetaten 14.4.21",,
14.04.2021 21:34:,58191,Peer support Rapport tilskudd til lavterskeltilbud K,MS OUTLOOK,Trond Morten Trondsen
06,,D,,
14.04.2021 09:43:,58181,"Videre utvikling av eiendomsportefølje, brev til KD",ACROBAT,Torgunn Kveberg
59,,av 13.4.21,,
13.04.2021 10:38:,58173,Kunngjøring om offentlig ettersyn: Gaustadalléen 3,ACROBAT,Torgunn Kveberg
06,,"4, PBE 12.4.21",,
